mean_r,std_r,kur_r,skew_r,mean_g,std_g,kur_g,skew_g,mean_b,std_b,kur_b,skew_b,entropy_r,entropy_g,contrast_r,contrast_g,contrast_b,corr_rg,corr_rb,corr_gb,moment_r,moment_g,moment_b,label
111.8246,21.90604106,4.481928848,1.56065848,117.5906,21.95973114,4.113151023,1.414217225,122.8758,22.07960087,3.559317779,1.189534605,9.192405103,9.193860913,9.194867229,196,200,199,0.971442347,0.984257282,0.94269265,479.8746348,482.2297916,0
171.9735,14.47734084,2.481556587,-1.335784814,172.3304,14.85060389,2.174493474,-1.23870993,172.4108,14.23748726,2.173117605,-1.22675438,9.20663691,9.206467064,9.206792188,121,126,123,0.98403506,0.989262556,0.97786543,209.5933978,220.5404358,0
130.6023,29.37878035,-0.020375549,0.183774072,130.8327,27.92910508,0.073860034,0.253559864,129.8745,25.97132938,0.183755196,0.325177512,9.184759784,9.187455257,9.190381105,202,196,189,0.994780154,0.993381529,0.985822093,863.1127347,780.0349107,0
177.202,35.99403278,-0.608147282,0.482500139,176.2754,34.04113622,-0.587841453,0.46676652,180.6137,31.43953359,-0.582737437,0.418068753,9.190066557,9.191990934,9.195381277,169,167,156,0.996757648,0.994456045,0.985177381,1295.570396,1158.798955,1
127.4062,20.85335468,1.355512916,-0.568278958,123.7722,21.39934829,1.260995648,-0.533544158,121.2295,20.11312581,1.232107036,-0.42775427,9.196205541,9.194538498,9.195934352,175,178,168,0.972218266,0.984029623,0.941094138,434.8624016,457.9321072,1
89.5353,18.77443884,7.935407002,2.386720395,93.7704,16.98514892,9.497760357,2.615198707,96.7089,15.64723492,10.52696891,2.700492968,9.190875215,9.195778156,9.198633611,166,158,152,0.978177054,0.986345753,0.974483538,352.4795539,288.4952838,0
126.6532,38.8679499,-0.908786975,0.009633422,126.0716,37.42294849,-0.884754709,0.013109826,124.9291,35.02614557,-0.805736932,-0.003485268,9.16152346,9.164780931,9.169737061,203,201,197,0.997881039,0.996728665,0.991970386,1510.71753,1400.477073,1
126.4668,43.68251478,-0.390532487,0.217107824,125.0589,42.81378552,-0.364123994,0.145919546,123.3453,40.96603554,-0.303846645,0.045944358,9.148572117,9.149040614,9.15197608,225,224,224,0.994455007,0.99406886,0.984313087,1908.162098,1833.020231,1
95.6147,31.19705505,0.145211571,-0.406176295,99.2862,32.33092466,-0.0720351,-0.684968328,104.8277,35.36207308,-0.468625147,-0.776954612,9.150614353,9.149215919,9.144161599,194,196,189,0.944648226,0.926593926,0.810546311,973.2562439,1045.28869,0
151.1082,18.72414198,-0.271982863,0.09918923,153.2309,17.8998264,-0.274884884,0.093462354,154.7753,16.88680579,-0.206899995,0.075895521,9.202640332,9.203499326,9.204371321,131,124,124,0.987308796,0.990202311,0.973462626,350.5934928,320.4037852,0
122.7838,38.6724664,-0.071089122,0.245019497,122.7207,37.98348182,-0.031357296,0.208240012,122.6154,36.79004597,0.159088405,0.103300986,9.159322711,9.160881187,9.163183107,231,231,237,0.992845344,0.993259906,0.981057147,1495.559658,1442.744892,1
115.8193,29.42748456,-0.191195327,0.378438847,115.0991,27.94687244,-0.024804857,0.475520182,114.2851,25.3165799,0.250464213,0.583380634,9.178186559,9.181222784,9.186294321,187,190,187,0.993471407,0.990559784,0.978567673,865.9768475,781.0276792,0
123.209,30.68736742,-0.266787109,0.218942521,122.6101,29.23068042,-0.211889837,0.282931979,121.5287,26.26138184,-0.118524114,0.368756845,9.179021953,9.181841242,9.187126016,199,196,184,0.994502129,0.991592051,0.981676622,941.714519,854.432678,0
103.6094,19.13753463,2.540200445,1.644347026,105.6512,16.69155291,2.735951694,1.585174852,109.0841,14.65149914,2.805795026,1.445334059,9.194592987,9.198663124,9.201771716,134,125,122,0.977304727,0.9828576,0.95746954,366.2452316,278.6079386,0
181.6806,12.90037921,2.47145437,0.355267187,188.5081,12.77374395,2.384841277,0.31846457,195.3736,12.67492892,2.183078948,0.278036528,9.20782943,9.208051759,9.208241077,134,131,122,0.989717478,0.989174254,0.98088738,166.4197836,163.1685344,0
206.4593,25.81258111,2.190366038,-1.054269578,197.9959,25.67532051,2.737238996,-1.198000261,190.4065,24.97913645,3.478157763,-1.422936909,9.202034634,9.201302796,9.200963319,188,196,197,0.989378191,0.978714909,0.945687203,666.2893435,659.2220832,1
128.9316,31.3647656,-0.464752801,-0.090580071,128.9502,29.49891388,-0.454252726,-0.011074803,128.7025,27.03384164,-0.42611904,0.070100098,9.179689945,9.183518734,9.187953087,181,175,175,0.995143931,0.994319847,0.986638229,983.7485214,870.18592,0
133.1759,32.56868679,0.738686852,0.985434554,134.1478,32.68756882,0.797997499,1.02906335,135.0181,32.52367403,0.861756528,1.054936476,9.18191792,9.18222068,9.182901178,199,201,199,0.991638025,0.993939613,0.98456624,1060.719359,1068.477155,0
127.5937,43.02681513,-0.27830929,0.262636774,128.1216,42.07991936,-0.246132306,0.241723538,127.9244,40.7906838,-0.208843482,0.17488381,9.151762862,9.154753695,9.157609179,247,239,227,0.99735708,0.997134994,0.992994417,1851.30682,1770.719613,1
117.9525,41.42319934,-0.961171798,0.258378351,117.2488,39.91643144,-0.91755425,0.268326495,116.1243,37.63258229,-0.844083113,0.246334296,9.147856711,9.151742828,9.157156061,209,207,206,0.99307652,0.994021967,0.978843003,1715.881444,1593.321499,1
150.6997,21.18985889,-0.27314338,0.012906459,151.9922,20.36649551,-0.30234509,0.098532167,152.9895,19.55290745,-0.227174986,0.111232393,9.200368829,9.201328951,9.202149641,147,134,131,0.992507096,0.992332621,0.98339351,449.0101199,414.7941392,0
127.1451,34.39137168,0.035077991,0.462561165,126.6632,34.50861872,0.170312585,0.504120385,125.9637,33.82412722,0.308275868,0.533467672,9.17396569,9.173507116,9.174622831,208,206,209,0.992602004,0.989117847,0.976961413,1182.766446,1190.844766,0
116.7072,12.71368035,6.223289254,2.008310685,125.1648,9.828745645,9.249988628,2.282149744,135.1514,9.806756754,3.050386198,0.871125288,9.204753646,9.207409367,9.207750712,112,99,91,0.784047197,0.740210652,0.293252311,161.6376682,96.60424096,0
161.992,32.75677237,-0.530889649,-0.665774999,151.3846,25.46115243,-0.533761924,-0.682788234,123.856,14.0860876,-0.175943069,-0.495083453,9.188544095,9.195457616,9.203708533,152,116,93,0.986305876,0.85972706,0.800553009,1073.006136,648.2702828,0
171.3031,32.7027343,-0.936239162,-0.589837857,168.9761,29.77327541,-0.834080356,-0.611838904,164.0053,25.88418961,-0.519202144,-0.619297981,9.191155796,9.194047915,9.197323016,167,165,172,0.989027934,0.984216683,0.960443966,1069.46883,886.4479288,1
145.6638,30.07684773,-0.149426584,-0.215736336,142.5847,28.20910537,-0.121261306,-0.108393499,140.7226,26.03364072,0.042231749,-0.063598192,9.188204798,9.190222037,9.192836654,188,181,184,0.992816933,0.991428453,0.979593334,904.6167696,795.7536259,0
154.8285,34.63571694,-0.034710558,-0.650087595,152.2917,33.33764255,-0.02103853,-0.666154399,146.0845,31.62079315,0.027431269,-0.680200127,9.18324103,9.184426306,9.184997554,194,191,182,0.995891601,0.993271427,0.986823919,1199.632888,1111.398411,1
111.3565,26.28785286,5.524025515,1.927211195,111.5445,24.14955113,7.505149826,2.177972318,111.6367,22.22041658,10.22539459,2.50034107,9.185255635,9.189350921,9.19272174,194,198,200,0.984488826,0.982541778,0.95770809,691.0512078,583.2008197,0
